Cycle,Stability,Gini
1,100.0,0.2468354430379747
2,100.0,0.24358974358974358
3,100.0,0.24025974025974026
4,100.0,0.23684210526315788
5,100.0,0.23333333333333334
6,100.0,0.22972972972972974
7,100.0,0.22602739726027396
8,100.0,0.2222222222222222
9,100.0,0.21830985915492956
10,100.0,0.21428571428571427
11,100.0,0.21014492753623187
12,100.0,0.20588235294117646
13,100.0,0.20149253731343283
14,100.0,0.19696969696969696
15,100.0,0.19230769230769232
16,100.0,0.1875
17,100.0,0.18253968253968253
18,100.0,0.1774193548387097
19,100.0,0.1721311475409836
20,100.0,0.16666666666666666
21,100.0,0.16101694915254236
22,100.0,0.15517241379310345
23,100.0,0.14912280701754385
24,100.0,0.14285714285714285
25,100.0,0.13636363636363635
26,100.0,0.12962962962962962
27,100.0,0.12264150943396226
28,100.0,0.11538461538461539
29,100.0,0.10784313725490197
30,100.0,0.1
31,100.0,0.09183673469387756
32,100.0,0.08333333333333333
33,100.0,0.07446808510638298
34,100.0,0.06521739130434782
35,100.0,0.05555555555555555
36,100.0,0.045454545454545456
37,100.0,0.03488372093023256
38,100.0,0.023809523809523808
39,100.0,0.012195121951219513
40,100.0,0.0
